Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1,Milwaukee Brewers,97,65,.599,W 1,5.0,3.9,1.1,0.0,1.0,99-63,-2,21-9,31-21,17-15,28-20,52-29,45-36,7-5,28-20,68-47,29-18,46-38,51-27,4-6,10-10,15-15
2,Philadelphia Phillies,96,66,.593,W 1,4.8,4.0,0.8,-0.1,0.7,94-68,2,31-21,14-16,20-12,31-17,55-26,41-40,9-6,26-21,73-41,23-25,45-35,51-31,5-5,13-7,20-10
3,Toronto Blue Jays,94,68,.580,W 4,4.9,4.5,0.5,0.1,0.5,88-74,6,29-23,16-15,19-12,30-18,54-27,40-41,10-4,27-20,70-52,24-16,49-41,45-27,5-5,12-8,17-13
4,New York Yankees,94,68,.580,W 8,5.2,4.2,1.0,0.0,1.0,97-65,-3,27-25,21-10,20-11,26-22,50-31,44-37,6-8,23-22,75-51,19-17,45-44,49-24,9-1,15-5,22-8
5,Los Angeles Dodgers,93,69,.574,W 5,5.1,4.2,0.9,-0.1,0.7,95-67,-2,18-13,12-19,36-16,27-21,52-29,41-40,8-7,25-24,69-46,24-23,48-37,45-32,8-2,15-5,18-12
6,Chicago Cubs,92,70,.568,W 3,4.9,4.0,0.9,0.0,0.9,96-66,-4,15-15,30-22,17-15,30-18,50-31,42-39,6-5,25-19,73-47,19-23,38-46,54-24,4-6,11-9,16-14
7,Seattle Mariners,90,72,.556,L 3,4.7,4.3,0.4,0.0,0.4,88-74,2,10-20,21-11,34-18,25-23,51-30,39-42,10-11,31-22,63-52,27-20,47-43,43-29,7-3,16-4,19-11
8,San Diego Padres,90,72,.556,W 3,4.3,3.8,0.5,-0.1,0.4,90-72,0,20-11,18-13,32-20,20-28,52-29,38-43,8-4,30-23,64-49,26-23,43-43,47-29,7-3,13-7,16-14
9,Boston Red Sox,89,73,.549,W 1,4.9,4.2,0.7,0.0,0.7,92-70,-3,32-20,17-14,14-17,26-22,48-33,41-40,8-12,23-27,65-52,24-21,44-43,45-30,6-4,11-9,17-13
10,Cleveland Guardians,88,74,.543,W 2,4.0,4.0,0.0,0.0,0.0,80-82,8,17-15,36-16,15-15,20-28,45-36,43-38,12-6,26-20,66-50,22-24,42-47,46-27,7-3,16-4,22-8
